Brand,Origin,Type
Fantastic,Australia,nonasian
Singa-Me,Australia,nonasian
Suimin,Australia,nonasian
Pran,Bangladesh,asian
Azami,Canada,nonasian
Campbell's,Canada,nonasian
Golden Wheat,Canada,nonasian
Mr. Noodles,Canada,nonasian
Noodle Time,Canada,nonasian
Plats Du Chef,Canada,nonasian
Western Family,Canada,nonasian
Baijia,China,asian
Baixiang Noodles,China,asian
Chencunfen,China,asian
Chuan Wei Wang,China,asian
Dragonfly,China,asian
Hankow,China,asian
Hua Feng,China,asian
JML,China,asian
Kamfen,China,asian
Kang Shi Fu,China,asian
Lele,China,asian
Liang Cheng Mai,China,asian
Liu Quan,China,asian
Long Kow,China,asian
Nan Jie Cun,China,asian
Qin Zong,China,asian
Sichuan Baijia,China,asian
Sichuan Guangyou,China,asian
Springlife,China,asian
Wugudaochang,China,asian
Xiuhe,China,asian
FMF,Fiji,nonasian
Bonasia,Germany,nonasian
Knorr,Germany,nonasian
Yum-Mie,Ghana,nonasian
Boss,Hong Kong,asian
Chewy,Hong Kong,asian
Doll,Hong Kong,asian
Four Seas,Hong Kong,asian
Fuku,Hong Kong,asian
Kailo,Hong Kong,asian
Sau Tao,Hong Kong,asian
1 To 3 Noodles,India,asian
Ching's Secret,India,asian
Patanjali,India,asian
Smack,India,asian
Tasty Bite,India,asian
TRDP,India,asian
ABC,Indonesia,asian
Cap Atoom Bulan,Indonesia,asian
Eat & Go,Indonesia,asian
GaGa,Indonesia,asian
Healtimie,Indonesia,asian
Indomie,Indonesia,asian
La Fonte,Indonesia,asian
Maitri,Indonesia,asian
Mayora,Indonesia,asian
Mie Sedaap,Indonesia,asian
Pop Bihun,Indonesia,asian
Pop Mie,Indonesia,asian
President,Indonesia,asian
Salam Mie,Indonesia,asian
Sarimi,Indonesia,asian
Super Bihun,Indonesia,asian
SuperMi,Indonesia,asian
Tropicana Slim,Indonesia,asian
Acecook,Japan,asian
Ajinatori,Japan,asian
Bamee,Japan,asian
Daikoku,Japan,asian
Daraz,Japan,asian
Farmer's Heart,Japan,asian
Fuji Mengyo,Japan,asian
Fujiwara,Japan,asian
Goku Uma,Japan,asian
Higashi,Japan,asian
Higashimaru,Japan,asian
Ikeda Shoku,Japan,asian
Ishimaru,Japan,asian
Itomen,Japan,asian
Itsuki,Japan,asian
Kimura,Japan,asian
Kumamoto,Japan,asian
Kuriki,Japan,asian
Maruchan,Japan,asian
Marutai,Japan,asian
Men-Sunaoshi,Japan,asian
Menraku,Japan,asian
Mitoku,Japan,asian
Myojo,Japan,asian
Nagao Noodle,Japan,asian
Nagatanien,Japan,asian
Nakaya Shouten,Japan,asian
New Touch,Japan,asian
Nissin,Japan,asian
Ogasawara,Japan,asian
Oyatsu,Japan,asian
Peyang,Japan,asian
Ripe'n'Dry,Japan,asian
Sakurai Foods,Japan,asian
Samurai Ramen,Japan,asian
Sanpo,Japan,asian
Sanrio,Japan,asian
Sanyo Foods,Japan,asian
Sapporo Ichiban,Japan,asian
Seven-Eleven,Japan,asian
Seven & I,Japan,asian
Shirakiku,Japan,asian
Sokensha,Japan,asian
Sugakiya Foods,Japan,asian
Tablemark,Japan,asian
Takamori Kosan,Japan,asian
Tokachimen Koubou,Japan,asian
Tokushima Seifun,Japan,asian
Tokyo Noodle,Japan,asian
Torishi,Japan,asian
Unzen,Japan,asian
Yamadai,Japan,asian
Yamamori,Japan,asian
Yamamoto,Japan,asian
JFC,South Korea,asian
Baltix,Estonia,nonasian
Adabi,Malaysia,asian
Ah Lai,Malaysia,asian
Aroi,Malaysia,asian
CarJEN,Malaysia,asian
Cintan,Malaysia,asian
Curry Prince,Malaysia,asian
Daddy Mee,Malaysia,asian
E-mi,Malaysia,asian
Econsave,Malaysia,asian
Hao Way,Malaysia,asian
Happy Family,Malaysia,asian
Ibumie,Malaysia,asian
IbuRamen,Malaysia,asian
J.J.,Malaysia,asian
Lee Fah Mee,Malaysia,asian
Mamee,Malaysia,asian
Mi E-Zee,Malaysia,asian
MyKuali,Malaysia,asian
MyOri,Malaysia,asian
Nanyang Chef,Malaysia,asian
Nyor Nyar,Malaysia,asian
ORee Garden,Malaysia,asian
Premiere,Malaysia,asian
Saji,Malaysia,asian
Sawadee,Malaysia,asian
Super,Malaysia,asian
The Bridge,Malaysia,asian
The Kitchen Food,Malaysia,asian
Uncle Sun,Malaysia,asian
Vit's,Malaysia,asian
World O' Noodle,Malaysia,asian
La Moderna,Mexico,nonasian
Asian Thai Foods,Nepal,asian
Wai Wai,Nepal,asian
Conimex,Netherlands,nonasian
Unox,Netherlands,nonasian
Trident,New Zealand,nonasian
